"Year","Month","Variable","Treatment","Value","Model"
2012,"Oct","mra","Control",0.017,"LPJGUESS"
2012,"Oct","mrh","Control",0.037,"LPJGUESS"
2012,"Oct","mrunoff","Control",9.211,"LPJGUESS"
2012,"Oct","mwcont_lower","Control",0.937,"LPJGUESS"
2012,"Oct","mwcont_upper","Control",0.606,"LPJGUESS"
2012,"Sep","maet","Control",43.063,"LPJGUESS"
2012,"Sep","mevap","Control",0,"LPJGUESS"
2012,"Sep","mgpp","Control",0.092,"LPJGUESS"
2012,"Sep","mlai","Control",5.264,"LPJGUESS"
2012,"Sep","mnee","Control",0.01,"LPJGUESS"
2012,"Sep","mnpp","Control",0.054,"LPJGUESS"
2012,"Sep","mra","Control",0.038,"LPJGUESS"
2012,"Sep","mrh","Control",0.064,"LPJGUESS"
2012,"Sep","mrunoff","Control",6.535,"LPJGUESS"
2012,"Sep","mwcont_lower","Control",0.933,"LPJGUESS"
2012,"Sep","mwcont_upper","Control",0.728,"LPJGUESS"
2010,"Apr","maet","Irrigated",44.494,"LPJGUESS"
2010,"Apr","mevap","Irrigated",0.105,"LPJGUESS"
2010,"Apr","mgpp","Irrigated",0.096,"LPJGUESS"
2010,"Apr","mlai","Irrigated",5.165,"LPJGUESS"
2010,"Apr","mnee","Irrigated",-0.019,"LPJGUESS"
2010,"Apr","mnpp","Irrigated",0.064,"LPJGUESS"
2010,"Apr","mra","Irrigated",0.032,"LPJGUESS"
2010,"Apr","mrh","Irrigated",0.045,"LPJGUESS"
2010,"Apr","mrunoff","Irrigated",77.699,"LPJGUESS"
2010,"Apr","mwcont_lower","Irrigated",0.992,"LPJGUESS"
2010,"Apr","mwcont_upper","Irrigated",0.852,"LPJGUESS"
2010,"Aug","maet","Irrigated",89.086,"LPJGUESS"
2010,"Aug","mevap","Irrigated",0,"LPJGUESS"
2010,"Aug","mgpp","Irrigated",0.166,"LPJGUESS"
2010,"Aug","mlai","Irrigated",5.236,"LPJGUESS"
2010,"Aug","mnee","Irrigated",-0.023,"LPJGUESS"
2010,"Aug","mnpp","Irrigated",0.105,"LPJGUESS"
2010,"Aug","mra","Irrigated",0.062,"LPJGUESS"
2010,"Aug","mrh","Irrigated",0.081,"LPJGUESS"
2010,"Aug","mrunoff","Irrigated",33.104,"LPJGUESS"
2010,"Aug","mwcont_lower","Irrigated",0.991,"LPJGUESS"
2010,"Aug","mwcont_upper","Irrigated",0.708,"LPJGUESS"
2010,"Dec","maet","Irrigated",0.444,"LPJGUESS"
2010,"Dec","mevap","Irrigated",9.636,"LPJGUESS"
2010,"Dec","mgpp","Irrigated",0,"LPJGUESS"
2010,"Dec","mlai","Irrigated",0.844,"LPJGUESS"
2010,"Dec","mnee","Irrigated",0.012,"LPJGUESS"
2010,"Dec","mnpp","Irrigated",-0.001,"LPJGUESS"
2010,"Dec","mra","Irrigated",0.001,"LPJGUESS"
2010,"Dec","mrh","Irrigated",0.012,"LPJGUESS"
2010,"Dec","mrunoff","Irrigated",1.71,"LPJGUESS"
