"Year","Month","Variable","Treatment","Value","Model"
2012,"Nov","mnpp","Control",0,"LPJGUESS"
2012,"Nov","mra","Control",0,"LPJGUESS"
2012,"Nov","mrh","Control",0.018,"LPJGUESS"
2012,"Nov","mrunoff","Control",1.131,"LPJGUESS"
2012,"Nov","mwcont_lower","Control",0.778,"LPJGUESS"
2012,"Nov","mwcont_upper","Control",0.36,"LPJGUESS"
2012,"Oct","maet","Control",11.637,"LPJGUESS"
2012,"Oct","mevap","Control",3.398,"LPJGUESS"
2012,"Oct","mgpp","Control",0.023,"LPJGUESS"
2012,"Oct","mlai","Control",2.524,"LPJGUESS"
2012,"Oct","mnee","Control",0.017,"LPJGUESS"
2012,"Oct","mnpp","Control",0.012,"LPJGUESS"
2012,"Oct","mra","Control",0.011,"LPJGUESS"
2012,"Oct","mrh","Control",0.029,"LPJGUESS"
2012,"Oct","mrunoff","Control",4.587,"LPJGUESS"
2012,"Oct","mwcont_lower","Control",0.781,"LPJGUESS"
2012,"Oct","mwcont_upper","Control",0.374,"LPJGUESS"
2012,"Sep","maet","Control",44.879,"LPJGUESS"
2012,"Sep","mevap","Control",0.711,"LPJGUESS"
2012,"Sep","mgpp","Control",0.098,"LPJGUESS"
2012,"Sep","mlai","Control",4.895,"LPJGUESS"
2012,"Sep","mnee","Control",-0.012,"LPJGUESS"
2012,"Sep","mnpp","Control",0.059,"LPJGUESS"
2012,"Sep","mra","Control",0.038,"LPJGUESS"
2012,"Sep","mrh","Control",0.048,"LPJGUESS"
2012,"Sep","mrunoff","Control",9.896,"LPJGUESS"
2012,"Sep","mwcont_lower","Control",0.799,"LPJGUESS"
2012,"Sep","mwcont_upper","Control",0.432,"LPJGUESS"
2010,"Apr","maet","Irrigated",48.079,"LPJGUESS"
2010,"Apr","mevap","Irrigated",0.253,"LPJGUESS"
2010,"Apr","mgpp","Irrigated",0.09,"LPJGUESS"
2010,"Apr","mlai","Irrigated",4.567,"LPJGUESS"
2010,"Apr","mnee","Irrigated",-0.013,"LPJGUESS"
2010,"Apr","mnpp","Irrigated",0.06,"LPJGUESS"
2010,"Apr","mra","Irrigated",0.03,"LPJGUESS"
2010,"Apr","mrh","Irrigated",0.047,"LPJGUESS"
2010,"Apr","mrunoff","Irrigated",78.793,"LPJGUESS"
2010,"Apr","mwcont_lower","Irrigated",0.991,"LPJGUESS"
2010,"Apr","mwcont_upper","Irrigated",0.911,"LPJGUESS"
2010,"Aug","maet","Irrigated",96.728,"LPJGUESS"
2010,"Aug","mevap","Irrigated",0.105,"LPJGUESS"
2010,"Aug","mgpp","Irrigated",0.158,"LPJGUESS"
2010,"Aug","mlai","Irrigated",4.63,"LPJGUESS"
2010,"Aug","mnee","Irrigated",-0.039,"LPJGUESS"
2010,"Aug","mnpp","Irrigated",0.099,"LPJGUESS"
2010,"Aug","mra","Irrigated",0.059,"LPJGUESS"
2010,"Aug","mrh","Irrigated",0.06,"LPJGUESS"
2010,"Aug","mrunoff","Irrigated",5.094,"LPJGUESS"
2010,"Aug","mwcont_lower","Irrigated",0.963,"LPJGUESS"
2010,"Aug","mwcont_upper","Irrigated",0.422,"LPJGUESS"
2010,"Dec","maet","Irrigated",0,"LPJGUESS"
2010,"Dec","mevap","Irrigated",11.834,"LPJGUESS"
2010,"Dec","mgpp","Irrigated",0,"LPJGUESS"
2010,"Dec","mlai","Irrigated",0,"LPJGUESS"
2010,"Dec","mnee","Irrigated",0.012,"LPJGUESS"
2010,"Dec","mnpp","Irrigated",0,"LPJGUESS"
2010,"Dec","mra","Irrigated",0,"LPJGUESS"
2010,"Dec","mrh","Irrigated",0.012,"LPJGUESS"
2010,"Dec","mrunoff","Irrigated",1.749,"LPJGUESS"
2010,"Dec","mwcont_lower","Irrigated",0.968,"LPJGUESS"
2010,"Dec","mwcont_upper","Irrigated",0.908,"LPJGUESS"
2010,"Feb","maet","Irrigated",0,"LPJGUESS"
2010,"Feb","mevap","Irrigated",0,"LPJGUESS"
2010,"Feb","mgpp","Irrigated",0,"LPJGUESS"
2010,"Feb","mlai","Irrigated",0,"LPJGUESS"
2010,"Feb","mnee","Irrigated",0.009,"LPJGUESS"
2010,"Feb","mnpp","Irrigated",0,"LPJGUESS"
2010,"Feb","mra","Irrigated",0,"LPJGUESS"
2010,"Feb","mrh","Irrigated",0.009,"LPJGUESS"
2010,"Feb","mrunoff","Irrigated",20.472,"LPJGUESS"
2010,"Feb","mwcont_lower","Irrigated",0.992,"LPJGUESS"
2010,"Feb","mwcont_upper","Irrigated",0.921,"LPJGUESS"
2010,"Jan","maet","Irrigated",0,"LPJGUESS"
2010,"Jan","mevap","Irrigated",0,"LPJGUESS"
2010,"Jan","mgpp","Irrigated",0,"LPJGUESS"
2010,"Jan","mlai","Irrigated",0,"LPJGUESS"
2010,"Jan","mnee","Irrigated",0.009,"LPJGUESS"
2010,"Jan","mnpp","Irrigated",0,"LPJGUESS"
2010,"Jan","mra","Irrigated",0,"LPJGUESS"
2010,"Jan","mrh","Irrigated",0.009,"LPJGUESS"
2010,"Jan","mrunoff","Irrigated",0,"LPJGUESS"
2010,"Jan","mwcont_lower","Irrigated",0.992,"LPJGUESS"
2010,"Jan","mwcont_upper","Irrigated",0.917,"LPJGUESS"
2010,"Jul","maet","Irrigated",108.384,"LPJGUESS"
2010,"Jul","mevap","Irrigated",0.197,"LPJGUESS"
2010,"Jul","mgpp","Irrigated",0.181,"LPJGUESS"
2010,"Jul","mlai","Irrigated",4.63,"LPJGUESS"
2010,"Jul","mnee","Irrigated",-0.037,"LPJGUESS"
2010,"Jul","mnpp","Irrigated",0.117,"LPJGUESS"
2010,"Jul","mra","Irrigated",0.064,"LPJGUESS"
2010,"Jul","mrh","Irrigated",0.081,"LPJGUESS"
2010,"Jul","mrunoff","Irrigated",71.966,"LPJGUESS"
2010,"Jul","mwcont_lower","Irrigated",0.978,"LPJGUESS"
2010,"Jul","mwcont_upper","Irrigated",0.656,"LPJGUESS"
2010,"Jun","maet","Irrigated",101.187,"LPJGUESS"
